47155,Terceira Islands ***Azores ***
47150,Vila Do Porto ***Azores ***
23640,Abaco-Snake Cay ***Bahamas ***
23600,All Other Bahamas Ports ***Bahamas ***
23672,Andros Island; Port Andros ***Bahamas ***
23630,Arawak Cay ***Bahamas ***
23683,Bimini Island ***Bahamas ***
23600,Browns Cays ***Bahamas ***
23684,Castaway Cay ***Bahamas ***
23620,Cat Cays ***Bahamas ***
23660,Cat Island ***Bahamas ***
23640,Cherokee Sound ***Bahamas ***
23641,Chub Cay ***Bahamas ***
23635,Clarence Town ***Bahamas ***
23675,Clifton Pier; Clifton Point ***Bahamas ***
23640,Coco Cay ***Bahamas ***
23636,Duncan Town ***Bahamas ***
23619,Eleuthera Island ***Bahamas ***
23621,Exuma ***Bahamas ***
23645,"Freeport, Grand Bahama Island ***Bahamas ***"
23600,Fresh Creek ***Bahamas ***
23640,Gorda Cay ***Bahamas ***
23623,Governors Harbour ***Bahamas ***
23640,Great Abaco Island ***Bahamas ***
23643,Great Harbour Cay ***Bahamas ***
23653,Great Inagua ***Bahamas ***
23642,Great Stirrup Cay ***Bahamas ***
23640,Green Turtle Cay ***Bahamas ***
23683,Gun Cay ***Bahamas ***
23624,Half Moon Cay ***Bahamas ***
23619,Harbour Island ***Bahamas ***
23635,Long Island ***Bahamas ***
23640,Marsh Harbour ***Bahamas ***
23653,Matthew Town ***Bahamas ***
23600,Mayaguana Island ***Bahamas ***
23661,"Nassau, New Providence Island ***Bahamas ***"
23665,Ocean Cay ***Bahamas ***
23646,Port Lucaya ***Bahamas ***
23650,Port Nelson ***Bahamas ***
23636,Ragged Island ***Bahamas ***
23650,Rum Cay ***Bahamas ***
23600,San Salvador ***Bahamas ***
23645,South Riding Point ***Bahamas ***
23622,Spanish Wells ***Bahamas ***
26344,Treasure Cay ***Bahamas ***
23667,Walker Cay ***Bahamas ***
23647,West End ***Bahamas ***
23600,Whale Cay ***Bahamas ***
52500,All Other Bahrain Ports ***Bahrain ***
52503,Khalifa Bin Salman ***Bahrain ***
52502,Manama; Al Manamah Harbor ***Bahrain ***
52501,Mina Sulman ***Bahrain ***
52500,Sitra; Sitrah ***Bahrain ***
53800,All Other Bangladesh Ports ***Bangladesh ***
53820,Chalna; Khulna ***Bangladesh ***
